Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.572,,
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.884,,
Angola,AGO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.456,,
Albania,ALB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75690391,37.48105039,53.1077865,55.56564467,,,,,,,,,,,,,69.63766963,63.6691536,70.58078809,73.32024692,79.86444487,80.73557539,,65.125,,
Andorra,AND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.893522389,,,,,19.202,,
Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.901,,
Armenia,ARM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.952,,
American Samoa,ASM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.348,,
Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25316017,11.94321532,14.17337373,17.90771104,20.22578297,21.73638759,21.86774425,20.91155808,16.91030561,31.1495289,29.5904616,0.027812999,0.025985976,0.025182281,0.022972246,0.022507212,0.021647281,0.020320396,0.018397826,0.024060723,0.029257361,0.030586847,0.039907753,0.038039272,0.042207528,0.04694802,0.054648483,,41.098,,
Austria,AUT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.168,,
Azerbaijan,AZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.576537975,6.295012401,6.385575792,,,,,,,,17.586,,
Burundi,BDI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.79366488,103.9915799,117.6309794,117.0125899,128.9192191,144.0976815,134.2470828,151.2772114,162.5614405,,,,,,,,,,,,,,,,,,,63.542,,
Belgium,BEL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.568,,
Benin,BEN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.998,,
Burkina Faso,BFA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.465,,
Bangladesh,BGD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.46184316,31.86399152,31.20445211,,,,,,,,,,,,,,,34.813,,
Bulgaria,BGR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.331,,
Bahrain,BHR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.727364185,16.37955868,21.29982087,19.34741472,17.88000297,16.98645162,15.81310272,16.96058238,21.16468109,23.69150527,25.74501489,27.10478363,28.37966711,32.4533576,29.3985592,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.41882502,27.97670322,30.63042779,34.43402329,34.86652347,33.99825022,34.22277639,21.7237965,20.95173286,19.64114437,18.75200428,,,,,,23.4702304,23.2550474,25.45031351,30.90345984,33.68656743,35.2808663,36.43201343,44.39458661,47.26727937,48.11951703,51.42074315,,,,
Bosnia and Herzegovina,BIH,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.83469429,49.09026315,,,,52.86811469,,36.335,,
