Year,Global GDP
1960,9.30095E+12
1961,9.57629E+12
1962,1.02614E+13
1963,1.10516E+13
1964,1.21511E+13
1965,1.32605E+13
1966,1.55541E+13
1967,1.6496E+13
1968,1.77798E+13
1969,1.96677E+13
1970,2.18321E+13
1971,2.40921E+13
1972,2.77809E+13
1973,3.41988E+13
1974,3.99594E+13
1975,4.45557E+13
1976,4.82404E+13
1977,5.44893E+13
1978,6.36701E+13
1979,7.44952E+13
1980,8.45272E+13
1981,8.77642E+13
1982,8.6554E+13
1983,8.69945E+13
1984,8.94818E+13
1985,9.39461E+13
1986,1.09992E+14
1987,1.24411E+14
1988,1.4086E+14
1989,1.46741E+14
1990,1.67145E+14
1991,1.76769E+14
1992,1.86649E+14
1993,1.89745E+14
1994,2.03564E+14
1995,2.27226E+14
1996,2.34057E+14
1997,2.33722E+14
1998,2.33117E+14
1999,2.39473E+14
2000,2.47227E+14
2001,2.46643E+14
2002,2.564E+14
2003,2.89502E+14
2004,3.28678E+14
2005,3.60291E+14
2006,3.95722E+14
2007,4.53489E+14
2008,5.0651E+14
2009,4.80714E+14
2010,5.33406E+14
2011,5.98886E+14
2012,6.15716E+14
2013,6.38312E+14
2014,6.5744E+14
2015,6.18813E+14
2016,6.26217E+14
2017,6.70536E+14
2018,7.10394E+14
2019,7.21842E+14
